freq;freq_label;indic_de;indic_de_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT196;Beiras e Serra da Estrela;2015;2015;31.3
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT196;Beiras e Serra da Estrela;2015;2015;31.1
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT196;Beiras e Serra da Estrela;2015;2015;31.6
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT196;Beiras e Serra da Estrela;2015;2015;31.7
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT196;Beiras e Serra da Estrela;2015;2015;31.7
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT1A;Grande Lisboa;2015;2015;31.9
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT1A;Grande Lisboa;2015;2015;32.0
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT1A;Grande Lisboa;2015;2015;31.9
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT1A;Grande Lisboa;2015;2015;32.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT1A;Grande Lisboa;2015;2015;32.4
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT1A;Grande Lisboa;2015;2015;32.3
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT1A0;Grande Lisboa;2015;2015;31.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT1A0;Grande Lisboa;2015;2015;31.1
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT1A0;Grande Lisboa;2015;2015;31.3
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT1A0;Grande Lisboa;2015;2015;31.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT1A0;Grande Lisboa;2015;2015;31.4
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT1A0;Grande Lisboa;2015;2015;31.5
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT1B;Península de Setúbal;2015;2015;31.6
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT1B;Península de Setúbal;2015;2015;31.6
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT1B;Península de Setúbal;2015;2015;32.0
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT1B;Península de Setúbal;2015;2015;32.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT1B;Península de Setúbal;2015;2015;32.0
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT1B;Península de Setúbal;2015;2015;30.8
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT1B0;Península de Setúbal;2015;2015;31.1
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT1B0;Península de Setúbal;2015;2015;31.4
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT1B0;Península de Setúbal;2015;2015;31.0
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT1B0;Península de Setúbal;2015;2015;31.5
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT1B0;Península de Setúbal;2015;2015;31.4
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT1B0;Península de Setúbal;2015;2015;31.3
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT1C;Alentejo;2015;2015;31.4
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT1C;Alentejo;2015;2015;32.1
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT1C;Alentejo;2015;2015;32.0
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT1C;Alentejo;2015;2015;31.8
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT1C;Alentejo;2015;2015;31.3
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT1C;Alentejo;2015;2015;31.0
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT1C1;Alentejo Litoral;2015;2015;31.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT1C1;Alentejo Litoral;2015;2015;31.4
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT1C1;Alentejo Litoral;2015;2015;31.3
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT1C1;Alentejo Litoral;2015;2015;31.5
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT1C1;Alentejo Litoral;2015;2015;31.7
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT1C1;Alentejo Litoral;2015;2015;31.8
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT1C2;Baixo Alentejo;2015;2015;31.9
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT1C2;Baixo Alentejo;2015;2015;31.9
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT1C2;Baixo Alentejo;2015;2015;32.1
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT1C2;Baixo Alentejo;2015;2015;31.2
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT1C2;Baixo Alentejo;2015;2015;31.7
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT1C2;Baixo Alentejo;2015;2015;31.4
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT1C3;Alto Alentejo;2015;2015;31.5
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT1C3;Alto Alentejo;2015;2015;32.1
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT1C3;Alto Alentejo;2015;2015;32.0
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT1C3;Alto Alentejo;2015;2015;32.1
