freq;freq_label;currency;currency_label;estruct;estruct_label;ecase;ecase_label;geo;geo_label;time;time_label;value
A;Annual;EUR;Euro;TOTAL;Total;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;12801.44
A;Annual;PPS;Purchasing Power Standard;TOTAL;Total;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;13876.56
A;Annual;NAC;National currency;TOTAL;Total;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;15634.37
A;Annual;EUR;Euro;GRS;Gross earning;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;17072.86
A;Annual;PPS;Purchasing Power Standard;GRS;Gross earning;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;23313.14
A;Annual;NAC;National currency;GRS;Gross earning;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;23851.16
A;Annual;EUR;Euro;TAX;Taxes;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;24140.63
A;Annual;PPS;Purchasing Power Standard;TAX;Taxes;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;24562.38
A;Annual;NAC;National currency;TAX;Taxes;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;25106.28
A;Annual;EUR;Euro;SOC;Social Security;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;25754.5
A;Annual;PPS;Purchasing Power Standard;SOC;Social Security;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;26290.67
A;Annual;NAC;National currency;SOC;Social Security;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;28203.86
A;Annual;EUR;Euro;FAM;Family allowances;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;29020.03
A;Annual;PPS;Purchasing Power Standard;FAM;Family allowances;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;29580.05
A;Annual;NAC;National currency;FAM;Family allowances;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;30205.32
A;Annual;EUR;Euro;NET;Net earning;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;30735.79
A;Annual;PPS;Purchasing Power Standard;NET;Net earning;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;31290.52
A;Annual;NAC;National currency;NET;Net earning;CPL_CH2_AW100_67;Two-earner couple with two children, one earning 100% and the other 67% of the average earning;PT;Portugal;2000;2000;31796.96
A;Annual;EUR;Euro;TOTAL;Total;CPL_CH2_AW100_100;Two-earner couple with two children, both earning 100% of the average earning;PT;Portugal;2000;2000;32119.06
A;Annual;PPS;Purchasing Power Standard;TOTAL;Total;CPL_CH2_AW100_100;Two-earner couple with two children, both earning 100% of the average earning;PT;Portugal;2000;2000;32272.79
