freq;freq_label;unit;unit_label;icha11_hf;icha11_hf_label;geo;geo_label;time;time_label;value
A;Annual;EUR_HAB;Euro per inhabitant;HF22;NPISH financing schemes;PT;Portugal;1993;1993;
A;Annual;MIO_NAC;Million units of national currency;HF22;NPISH financing schemes;PT;Portugal;1993;1993;
A;Annual;NAC_HAB;National currency per inhabitant;HF22;NPISH financing schemes;PT;Portugal;1993;1993;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HF22;NPISH financing schemes;PT;Portugal;1993;1993;
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HF22;NPISH financing schemes;PT;Portugal;1993;1993;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HF22;NPISH financing schemes;PT;Portugal;1993;1993;
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HF22;NPISH financing schemes;PT;Portugal;1993;1993;
A;Annual;MIO_EUR;Million euro;HF23;Enterprise financing schemes;PT;Portugal;1993;1993;
A;Annual;EUR_HAB;Euro per inhabitant;HF23;Enterprise financing schemes;PT;Portugal;1993;1993;
A;Annual;MIO_NAC;Million units of national currency;HF23;Enterprise financing schemes;PT;Portugal;1993;1993;
A;Annual;NAC_HAB;National currency per inhabitant;HF23;Enterprise financing schemes;PT;Portugal;1993;1993;
A;Annual;MIO_PPS;Million purchasing power standards (PPS);HF23;Enterprise financing schemes;PT;Portugal;1993;1993;0.0
A;Annual;PPS_HAB;Purchasing power standard (PPS) per inhabitant;HF23;Enterprise financing schemes;PT;Portugal;1993;1993;0.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);HF23;Enterprise financing schemes;PT;Portugal;1993;1993;0.0
A;Annual;PC_CHE;Percentual share of total current health expenditure (CHE);HF23;Enterprise financing schemes;PT;Portugal;1993;1993;0.0
A;Annual;MIO_EUR;Million euro;HF3;Household out-of-pocket payment;PT;Portugal;1993;1993;0.0
A;Annual;EUR_HAB;Euro per inhabitant;HF3;Household out-of-pocket payment;PT;Portugal;1993;1993;
A;Annual;MIO_NAC;Million units of national currency;HF3;Household out-of-pocket payment;PT;Portugal;1993;1993;0.0
