tempo;regiao;entidade;localizacao_geografica;tipologia_de_ausencia;valor
2020-12;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Por conta do período de férias;100
2014-05;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Injustificadas;2
2020-12;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Falecimento de familiar;439
2014-05;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.5658621, -7.9136262;Falecimento de familiar;77
2020-12;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Outras;3395
2014-05;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, E.P.E.;38.5684861, -7.9032848;Trabalhador-estudante;37
2021-01;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;Trabalhador-estudante;0
2014-05;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, E.P.E.;38.5684861, -7.9032848;Com perda do vencimento;0
2021-01;Região de Saúde LVT;Administração Central do Sistema de Saúde, I.P.;38.7569402, -9.1494097;Outras;0
2014-05;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, E.P.E.;38.5684861, -7.9032848;Cumprimento de pena disciplinar;0
2021-01;Região de Saúde LVT;Administração Regional Saúde Lisboa Vale Tejo, I.P.;38.748879, -9.139606;Casamento;17
2014-05;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, E.P.E.;38.5684861, -7.9032848;Greve;1
2021-01;Região de Saúde LVT;Administração Regional Saúde Lisboa Vale Tejo, I.P.;38.748879, -9.139606;Doença;16427
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Falecimento de familiar;183
2021-01;Região de Saúde LVT;Administração Regional Saúde Lisboa Vale Tejo, I.P.;38.748879, -9.139606;Assistência a familiares;257
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Por acidente em serviço ou doença profissional;483
2021-01;Região de Saúde LVT;Autoridade Nacional Medicamento Produtos de Saúde, I.P.;38.7582532, -9.1502867;Casamento;11
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Com perda do vencimento;0
2021-01;Região de Saúde LVT;Autoridade Nacional Medicamento Produtos de Saúde, I.P.;38.7582532, -9.1502867;Doença;166
