freq;freq_label;unit;unit_label;wstatus;wstatus_label;nace_r2;nace_r2_label;geo;geo_label;time;time_label;value
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT;Portugal;1999;1999;49.49
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1999;1999;51.39
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1999;1999;53.31
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1999;1999;54.47
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT;Portugal;1999;1999;55.6
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT;Portugal;1999;1999;56.95
A;Annual;THS;Thousand;SELF;Self-employed persons;K;Financial and insurance activities;PT;Portugal;1999;1999;55.18
A;Annual;THS;Thousand;EMP;Employed persons;L;Real estate activities;PT;Portugal;1999;1999;57.19
A;Annual;THS;Thousand;SAL;Employees;L;Real estate activities;PT;Portugal;1999;1999;56.85
A;Annual;THS;Thousand;SELF;Self-employed persons;L;Real estate activities;PT;Portugal;1999;1999;58.21
A;Annual;THS;Thousand;EMP;Employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1999;1999;60.28
A;Annual;THS;Thousand;SAL;Employees;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1999;1999;61.92
A;Annual;THS;Thousand;SELF;Self-employed persons;M_N;"Professional, scientific and technical activities; administrative and support service activities";PT;Portugal;1999;1999;64.02
A;Annual;THS;Thousand;EMP;Employed persons;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1999;1999;67.67
A;Annual;THS;Thousand;SAL;Employees;O-U;"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation, repair of household goods and other services";PT;Portugal;1999;1999;70.14
