tempo;regiao;entidade;localizacao_geografica;ebitda;gastos_operacionais;rendimentos_operacionais;resultado_liquido;resultados_operacionais
2017-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;2531749.31;93832068.19000001;94102728.4;2724722.77;270660.21
2017-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;-26944380.5;218502080.87;186761782.6;-34339887.14;-31740298.27
2017-06;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;-16930494.91;101310905.50999999;81184009.60000001;-19780963.39;-20126895.91
2017-06;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;1074133.7;13533940.559999999;14294728.07;547321.62;760787.51
2017-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;951216.44;26769397.28;27123705.98;394755.76;354308.7
2017-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;1601488.24;44896205.260000005;45079808.879999995;266801.7;183603.62
2017-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;-8252838.6;33355691.06;24557813.01;-8530476.02;-8797878.05
2017-07;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;-22637051.01;247812900.11999997;221239690.01;-16469962.53;-26573210.11
2017-07;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;-494418.41;111829162.83000001;108717279.41;-2592704.89;-3111883.42
2017-07;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;-7473854.49;58373214.980000004;49846435.0;-8297051.89;-8526779.98
2017-07;Região de Saúde LVT;Hospital Fernando Fonseca, EPE;38.7422257, -9.2264834;-12802408.06;103163051.35;88088165.28;-14638515.85;-15074886.07
2017-07;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;-398268.58;4604622.63;3705757.41;-236402.36;-898865.22
2017-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;-832420.17;50652422.150000006;49008986.63999999;-1612036.65;-1643435.51
2017-08;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;-1562057.530000004;64238948.580000006;60583115.67;-3578926.4099999964;-3655832.910000004
2017-08;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;-14875996.149999999;58421027.57;42596157.17;-15971577.980000004;-15824870.399999999
2017-08;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;-3909807.54;19883075.11;15688465.1;-4199441.349999998;-4194610.01
2017-08;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;-10256949.45;38493960.42;27691971.520000003;-10521147.359999996;-10801988.899999999
2017-08;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;-8071703.150000003;66150877.99000001;56892504.79000001;-9001357.430000007;-9258373.200000003
2017-08;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;290032.35999999987;18748215.42;18849696.26;124952.71999999881;101480.83999999985
2017-08;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;586921.6100000022;18416907.75;18587893.650000002;-61084.45999999717;170985.90000000224
2017-08;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;-6110958.449999999;60044349.32;52618163.14;-6853253.5599999875;-7426186.18
2017-08;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;338614.76000000036;3508582.02;3763833.3800000004;304645.45000000065;255251.36000000034
