geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;sinal_conv;sinal_conv_desc;ind_string;valor;periodo
2;Região Autónoma dos Açores;1;H;6;Superior;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;8,0 §;8;4.º Trimestre de 2024
20;Região Autónoma dos Açores;1;H;6;Superior;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;8,0 §;8;4.º Trimestre de 2024
3;Região Autónoma da Madeira;1;H;6;Superior;;;11,5;11.5;4.º Trimestre de 2024
30;Região Autónoma da Madeira;1;H;6;Superior;;;11,5;11.5;4.º Trimestre de 2024
PT;Portugal;1;H;6;Superior;;;612,7;612.7;4.º Trimestre de 2024
1;Continente;2;M;6;Superior;;;899,7;899.7;4.º Trimestre de 2024
11;Norte;2;M;6;Superior;;;302,3;302.3;4.º Trimestre de 2024
15;Algarve;2;M;6;Superior;;;33,7;33.7;4.º Trimestre de 2024
16;Centro;2;M;6;Superior;;;190,5;190.5;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;2;M;6;Superior;;;323,3;323.3;4.º Trimestre de 2024
18;Alentejo;2;M;6;Superior;;;49,8;49.8;4.º Trimestre de 2024
2;Região Autónoma dos Açores;2;M;6;Superior;;;14,1;14.1;4.º Trimestre de 2024
20;Região Autónoma dos Açores;2;M;6;Superior;;;14,1;14.1;4.º Trimestre de 2024
3;Região Autónoma da Madeira;2;M;6;Superior;;;19,4;19.4;4.º Trimestre de 2024
30;Região Autónoma da Madeira;2;M;6;Superior;;;19,4;19.4;4.º Trimestre de 2024
PT;Portugal;2;M;6;Superior;;;933,1;933.1;4.º Trimestre de 2024
1;Continente;T;HM;6;Superior;;;1 492,9;1492.9;4.º Trimestre de 2024
11;Norte;T;HM;6;Superior;;;507,6;507.6;4.º Trimestre de 2024
15;Algarve;T;HM;6;Superior;;;55,2;55.2;4.º Trimestre de 2024
16;Centro;T;HM;6;Superior;;;308,0;308;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;T;HM;6;Superior;;;546,9;546.9;4.º Trimestre de 2024
18;Alentejo;T;HM;6;Superior;;;75,3;75.3;4.º Trimestre de 2024
2;Região Autónoma dos Açores;T;HM;6;Superior;;;22,1;22.1;4.º Trimestre de 2024
20;Região Autónoma dos Açores;T;HM;6;Superior;;;22,1;22.1;4.º Trimestre de 2024
3;Região Autónoma da Madeira;T;HM;6;Superior;;;30,8;30.8;4.º Trimestre de 2024
30;Região Autónoma da Madeira;T;HM;6;Superior;;;30,8;30.8;4.º Trimestre de 2024
PT;Portugal;T;HM;6;Superior;;;1 545,8;1545.8;4.º Trimestre de 2024
1;Continente;1;H;T;Total;;;2 015,9;2015.9;4.º Trimestre de 2024
11;Norte;1;H;T;Total;;;742,8;742.8;4.º Trimestre de 2024
15;Algarve;1;H;T;Total;;;90,9;90.9;4.º Trimestre de 2024
16;Centro;1;H;T;Total;;;445,9;445.9;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;1;H;T;Total;;;594,9;594.9;4.º Trimestre de 2024
18;Alentejo;1;H;T;Total;;;141,4;141.4;4.º Trimestre de 2024
2;Região Autónoma dos Açores;1;H;T;Total;;;51,6;51.6;4.º Trimestre de 2024
20;Região Autónoma dos Açores;1;H;T;Total;;;51,6;51.6;4.º Trimestre de 2024
3;Região Autónoma da Madeira;1;H;T;Total;;;54,4;54.4;4.º Trimestre de 2024
30;Região Autónoma da Madeira;1;H;T;Total;;;54,4;54.4;4.º Trimestre de 2024
PT;Portugal;1;H;T;Total;;;2 122,0;2122;4.º Trimestre de 2024
1;Continente;2;M;T;Total;;;2 138,3;2138.3;4.º Trimestre de 2024
11;Norte;2;M;T;Total;;;764,4;764.4;4.º Trimestre de 2024
15;Algarve;2;M;T;Total;;;99,4;99.4;4.º Trimestre de 2024
16;Centro;2;M;T;Total;;;467,8;467.8;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;2;M;T;Total;;;664,8;664.8;4.º Trimestre de 2024
18;Alentejo;2;M;T;Total;;;141,8;141.8;4.º Trimestre de 2024
2;Região Autónoma dos Açores;2;M;T;Total;;;51,1;51.1;4.º Trimestre de 2024
20;Região Autónoma dos Açores;2;M;T;Total;;;51,1;51.1;4.º Trimestre de 2024
3;Região Autónoma da Madeira;2;M;T;Total;;;56,7;56.7;4.º Trimestre de 2024
30;Região Autónoma da Madeira;2;M;T;Total;;;56,7;56.7;4.º Trimestre de 2024
PT;Portugal;2;M;T;Total;;;2 246,1;2246.1;4.º Trimestre de 2024
1;Continente;T;HM;T;Total;;;4 154,2;4154.2;4.º Trimestre de 2024
11;Norte;T;HM;T;Total;;;1 507,2;1507.2;4.º Trimestre de 2024
15;Algarve;T;HM;T;Total;;;190,3;190.3;4.º Trimestre de 2024
16;Centro;T;HM;T;Total;;;913,7;913.7;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;T;HM;T;Total;;;1 259,8;1259.8;4.º Trimestre de 2024
18;Alentejo;T;HM;T;Total;;;283,2;283.2;4.º Trimestre de 2024
2;Região Autónoma dos Açores;T;HM;T;Total;;;102,7;102.7;4.º Trimestre de 2024
20;Região Autónoma dos Açores;T;HM;T;Total;;;102,7;102.7;4.º Trimestre de 2024
3;Região Autónoma da Madeira;T;HM;T;Total;;;111,1;111.1;4.º Trimestre de 2024
30;Região Autónoma da Madeira;T;HM;T;Total;;;111,1;111.1;4.º Trimestre de 2024
PT;Portugal;T;HM;T;Total;;;4 368,1;4368.1;4.º Trimestre de 2024
