geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;ind_string;valor;periodo
20;Região Autónoma dos Açores;T;HM;32;25 - 29 anos;14 504;14504;2023
200;Região Autónoma dos Açores;T;HM;32;25 - 29 anos;14 504;14504;2023
16F;Região de Leiria;T;HM;22;15 - 19 anos;14 526;14526;2023
1701107;Loures;T;HM;51;40 - 44 anos;14 534;14534;2023
15;Algarve;1;H;42;35 - 39 anos;14 564;14564;2023
150;Algarve;1;H;42;35 - 39 anos;14 564;14564;2023
2;Região Autónoma dos Açores;T;HM;31;20 - 24 anos;14 567;14567;2023
20;Região Autónoma dos Açores;T;HM;31;20 - 24 anos;14 567;14567;2023
200;Região Autónoma dos Açores;T;HM;31;20 - 24 anos;14 567;14567;2023
11D;Douro;T;HM;72;65 - 69 anos;14 570;14570;2023
1701110;Oeiras;T;HM;52;45 - 49 anos;14 573;14573;2023
11B1712;Valpaços;T;HM;T;Total;14 590;14590;2023
1811509;Santiago do Cacém;2;M;T;Total;14 601;14601;2023
16D;Região de Aveiro;2;M;62;55 - 59 anos;14 602;14602;2023
16B;Oeste;1;H;52;45 - 49 anos;14 606;14606;2023
1701105;Cascais;T;HM;71;60 - 64 anos;14 614;14614;2023
16B1108;Lourinhã;2;M;T;Total;14 627;14627;2023
185;Lezíria do Tejo;T;HM;81;70 - 74 anos;14 655;14655;2023
16D0103;Anadia;2;M;T;Total;14 672;14672;2023
16E;Região de Coimbra;1;H;72;65 - 69 anos;14 674;14674;2023
1120303;Braga;T;HM;62;55 - 59 anos;14 679;14679;2023
1701111;Sintra;1;H;52;45 - 49 anos;14 710;14710;2023
15;Algarve;2;M;42;35 - 39 anos;14 717;14717;2023
150;Algarve;2;M;42;35 - 39 anos;14 717;14717;2023
112;Cávado;1;H;51;40 - 44 anos;14 766;14766;2023
1811513;Sines;T;HM;T;Total;14 771;14771;2023
119;Ave;2;M;51;40 - 44 anos;14 807;14807;2023
16B;Oeste;2;M;61;50 - 54 anos;14 813;14813;2023
16D;Região de Aveiro;2;M;61;50 - 54 anos;14 868;14868;2023
112;Cávado;1;H;62;55 - 59 anos;14 874;14874;2023
16I0509;Sertã;T;HM;T;Total;14 900;14900;2023
1120303;Braga;T;HM;51;40 - 44 anos;14 905;14905;2023
119;Ave;1;H;71;60 - 64 anos;14 913;14913;2023
2004201;Lagoa;T;HM;T;Total;14 920;14920;2023
1701106;Lisboa;1;H;71;60 - 64 anos;14 975;14975;2023
11C;Tâmega e Sousa;1;H;71;60 - 64 anos;15 009;15009;2023
11A1312;Porto;T;HM;81;70 - 74 anos;15 027;15027;2023
11C;Tâmega e Sousa;T;HM;11;0 - 4 anos;15 039;15039;2023
16E;Região de Coimbra;2;M;51;40 - 44 anos;15 066;15066;2023
2;Região Autónoma dos Açores;T;HM;41;30 - 34 anos;15 081;15081;2023
20;Região Autónoma dos Açores;T;HM;41;30 - 34 anos;15 081;15081;2023
200;Região Autónoma dos Açores;T;HM;41;30 - 34 anos;15 081;15081;2023
18;Alentejo;1;H;12;5 - 9 anos;15 103;15103;2023
16E;Região de Coimbra;1;H;62;55 - 59 anos;15 128;15128;2023
16I;Médio Tejo;T;HM;81;70 - 74 anos;15 136;15136;2023
16D;Região de Aveiro;T;HM;11;0 - 4 anos;15 137;15137;2023
3;Região Autónoma da Madeira;T;HM;31;20 - 24 anos;15 150;15150;2023
30;Região Autónoma da Madeira;T;HM;31;20 - 24 anos;15 150;15150;2023
300;Região Autónoma da Madeira;T;HM;31;20 - 24 anos;15 150;15150;2023
15;Algarve;2;M;81;70 - 74 anos;15 154;15154;2023
150;Algarve;2;M;81;70 - 74 anos;15 154;15154;2023
16J;Beiras e Serra da Estrela;T;HM;62;55 - 59 anos;15 162;15162;2023
111;Alto Minho;T;HM;51;40 - 44 anos;15 180;15180;2023
16D;Região de Aveiro;2;M;52;45 - 49 anos;15 187;15187;2023
16G1816;São Pedro do Sul;T;HM;T;Total;15 197;15197;2023
1861213;Ponte de Sor;T;HM;T;Total;15 207;15207;2023
11A0107;Espinho;1;H;T;Total;15 215;15215;2023
11A1317;Vila Nova de Gaia;T;HM;22;15 - 19 anos;15 257;15257;2023
16G;Viseu Dão Lafões;T;HM;82;75 - 79 anos;15 263;15263;2023
15;Algarve;1;H;72;65 - 69 anos;15 288;15288;2023
