geocod,geodsg,dim_3,dim_3_t,sinal_conv,sinal_conv_desc,ind_string,periodo,valor
PTLDP,Lajes do Pico,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,07,Coque e produtos petrolíferos refinados,,,20 631,2023,20631
PTLIS,Lisboa,07,Coque e produtos petrolíferos refinados,,,15 687,2023,15687
PTMAD,Madalena,07,Coque e produtos petrolíferos refinados,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,16 274,2023,16274
PTPRG,Praia da Graciosa,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,302,2023,302
PTPRM,Portimão,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,2 711,2023,2711
PTPXO,Porto Santo,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,280,2023,280
PTSCF,Santa Cruz das Flores,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
