tempo;regiao;instituicao;localizacao_geografica;gastos_com_te_e_suplementos;gastos_com_pessoal;gastos_com_te_e_suplementos_no_total_gastos_com_pessoal
2020-03;Região de Saúde do Centro;Centro Hospitalar Cova da Beira, EPE;40.2804158, -7.4922407;1835;10613;17.3
2020-03;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;38;778;4.9
2020-03;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;1905;15004;12.7
2020-03;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;3982;32786;12.1
2020-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;2705;17874;15.1
2020-03;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;1867;13502;13.8
2020-03;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;3069;23093;13.3
2020-03;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;1898;16261;11.7
2020-03;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;4528;24690;18.3
2020-03;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;2042;14754;13.8
2020-03;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;189;3229;5.9
2020-04;Região de Saúde do Centro;Centro Hospitalar Cova da Beira, EPE;40.2804158, -7.4922407;2504;14217;17.6
2020-04;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;771;12850;6.0
2020-04;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;2500;21485;11.6
2020-04;Região de Saúde Norte;Centro Hospitalar de São João, EPE;41.1831056, -8.6010558;9352;70181;13.3
2020-04;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;2498;19420;12.9
2020-04;Região de Saúde Norte;Hospital de Braga, EPE;41.56785, -8.398982;3575;33115;10.8
